Smiles,docking score
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,-6.726
Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5ccc(O)c(C(=O)O)c5)cc4)cc3)c(O)c2c1,-6.721
[O-][n+]1cccc2cccc(O)c21,-6.713
O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,-6.705
CN(C)CCNC(=O)c1cc2ccccc2c2cccnc12,-6.681
O=C1NC(=O)C(Cl)C1=C(Cl)Cl,-6.676
[O-][n+]1onc2c([NH+]([O-])O)ccc(N3CCN(CCO)CC3)c21,-6.674
CNC(=O)CC(N)C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccc(O)cc1,-6.671
Oc1ccc(O)c(O)c1,-6.668
NCC1CCC(C(=O)c2ccc(CCC(=O)O)cc2)CC1,-6.651
OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,-6.643
CCN1CCNC(=O)C1=O,-6.63
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,-6.627
CC(C)NCC(O)COc1cccc2c1OCC(O)C2,-6.609
O=C1c2c3c(O)ccc4c3c(c3c(O)ccc(c23)C2OC12)C(O)C1OC41,-6.601
O=C1NC(=O)c2ccccc21,-6.593
CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,-6.591
O=C1c2cccc(O)c2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cccc21,-6.577
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,-6.57
CN(C)CCNC(=O)c1cccc2c(=O)c3ccccc3sc12,-6.536
COc1cc2c3c(c1O)-c1cc4c(cc1CC3N(C)CC2)OCO4,-6.534
O=C(O)C1Cc2c([nH]c3ccccc23)C(Cc2ccccc2O)N1,-6.529
O=C1c2cccc(O)c2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)cccc21,-6.529
CCNc1nc(Cl)nc(NCC)n1,-6.523
CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1,-6.52
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(O)C1)C(=O)c1c(O)cccc1C3=O,-6.513
CC(=O)c1cc(N)ccc1OCC(O)CNC(C)(C)C,-6.511
OCc1cc2ccc3cccnc3c2[nH]1,-6.508
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,-6.493
OCC1OC(n2cnc3c(NO)ncnc32)C(O)C1O,-6.485
Cc1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O,-6.469
OCC(O)C(O)C(O)C(O)CO,-6.458
COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,-6.446
Cc1cc(O)c2c(c1)C(=O)c1cc(OC3OC(C)C(O)C(O)C3O)cc(O)c1C2=O,-6.444
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1CC(O)C(CO)O1,-6.441
Nc1ncnc2c1ncn2[C@@H]1CC[C@H](CO)O1,-6.439
Nc1ncnc2c1ncn2C1CCC(CO)O1,-6.439
O=NN1C(C(=O)O)CSC1C(O)C(O)C(O)C(O)CO,-6.438
CC[C@]1(O)C[C@@H](O)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@@H]1C(=O)OC,-6.428
O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,-6.428
O=C1NC(=O)[C@@H]2CC=CC[C@H]12,-6.424
O=C1NC(=O)C2CC=CCC12,-6.424
CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,-6.423
O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1,-6.422
[O-][NH+](O)c1ccc(Nc2ccccc2O)c([NH+]([O-])O)c1,-6.422
Cn1cc(CC2(O)C(=O)CC3C(O)COC32O)c2ccccc21,-6.42
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,-6.414
CC1=CC2(OC3OC(CO)C(O)C(O)C3O)CC(C)C(=O)C2C(C)(O)C12CC2,-6.388
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,-6.386
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-6.382
O=NN1CCS[C@@H]1[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,-6.382
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,-6.38
O=NN(CC(=O)O)CC1(O)CCC(O)C(O)C1O,-6.374
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(OC)C(C)O1,-6.367
Cc1cc(O)c2c(c1)C(=O)c1cc(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c1C2=O,-6.367
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,-6.356
Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl,-6.349
O=C1CC(=C(Cl)Cl)C(=O)N1,-6.344
C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@@H](O)CC2CC(=O)NC(=O)C2)C1,-6.333
CC1CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(=O)C1=O,-6.333
CC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)O,-6.329
CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,-6.319
O=C1c2ccccc2C(=O)c2c1ccc([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2O,-6.314
O=C1CN(N=Cc2ccc([NH+]([O-])O)o2)C(=O)N1,-6.295
C=C1C(=O)O[C@@H]2C[C@H](C)[C@H]3C[C@@H](O)O[C@@H](O)[C@]3(C)C[C@H]12,-6.291
CCC1(c2ccccc2)C(=O)NCNC1=O,-6.277
[O-][NH+](O)c1cccnc1O,-6.277
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCO)ccc(NCCO)c21,-6.275
O=[N+]([O-])c1ccc(C=NN2CCN=C2O)o1,-6.274
COC(=O)C(=C\CO)/C=C(C)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,-6.272
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O,-6.262
O=NN(CCc1c[nH]c2ccccc12)C1OCC(O)C(O)C1O,-6.261
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-6.255
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,-6.234
N=c1ccn2c(n1)OC1C(O)C(CO)OC12,-6.23
OC(CBr)C(O)C(O)C(O)CBr,-6.227
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,-6.221
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N2CCOC[C@H]2C#N)[C@H](O)[C@H](C)O1,-6.22
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1COO,-6.219
O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,-6.214
O=C1NC(=O)c2cc([NH+]([O-])O)ccc21,-6.214
Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,-6.202
Nc1ccc2c(=O)[nH]sc2c1,-6.199
O=[N+]([O-])c1ccc2c(O)nsc2c1,-6.186
NC(CCC(=O)NC(CSC(=O)NCCO)C(=O)NCC(=O)O)C(=O)O,-6.18
C[C@@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)C[C@H](N)[C@H]1O,-6.178
CN1CCN(c2ccc([NH+]([O-])O)c3no[n+]([O-])c23)CC1,-6.176
CCC12OC1(C(=O)OC)C(=O)NC2(C)O,-6.166
CCCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12,-6.16
OCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-6.149
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,-6.141
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,-6.137
COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,-6.134
COc1cc(C)cc2c(O)c(-c3c(C)cc4c(O)ccc(O)c4c3OC)cc(O)c12,-6.128
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-6.128
OC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](O)[C@@H]1O,-6.124
COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(O)ccc(O)c3oc2c1,-6.103
Nc1c2ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2nc[n+]1[O-],-6.094
O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CO,-6.092
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-6.085
O=NN1CCCNC1=O,-6.085
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-6.084
OC1C=Cc2ccc3c(sc4ccccc43)c2C1O,-6.083
CCC1(O)CC(OC2CC(N)C(O)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,-6.076
Cc1ccc([N+](=O)[O-])c2c(=NCCCN(C)C)c3ccccc3[nH]c12,-6.072
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1,-6.072
Oc1ccc2ccc3c4c(cc5ccc1c2c53)C(O)C(O)C=C4,-6.067
Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1,-6.061
CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,-6.056
O=C1OC2C(O)COC2(O)C1(O)Cc1c[nH]c2ccccc12,-6.05
CC(C)NC[C@@H](O)COc1cccc2c1OC[C@@H](O[N+](=O)[O-])C2,-6.045
CN(C)CCCNc1c2ccccc2nc2ccccc12,-6.042
O=NN1CCC(=O)NC1=O,-6.04
O=C1C=CC(=O)N1,-6.035
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C(OC1CC(N(C)C)C(O)C(C)O1)CC(O)(C(=O)CO)C3,-6.033
COc1cc2c(cc1O)CC1c3c(cc(OC)c(O)c3-2)CC[N+]1(C)C,-6.025
CC1(C)CC2C(O)(C=C(C=O)C34CC23C(=O)OC4O)C1,-6.023
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,-6.019
Oc1ccc2ccc3c4c(ccc3c2c1)C(O)C(O)C=C4,-6.019
CCCN1CCN(c2ccc([NH+]([O-])O)c3no[n+]([O-])c23)CC1,-6.012
[O-][n+]1onc2c([NH+]([O-])O)ccc(N(CCO)CCO)c21,-6.005
COC(=O)[C@]12O[C@@]1(C)[C@@](C)(O)NC2=O,-5.992
CN(N=O)C(=O)NC(C=O)C(O)C(O)C(O)CO,-5.991
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-5.984
O=C1C=CC(=O)c2c(O)cccc21,-5.984
CCc1cccc(CC)c1NC(=O)CO,-5.976
CC=C(C=C(C)C=C(C)C=CC=C(C)C(=O)C12OC1C(O)(CCO)NC2=O)C(=O)OC,-5.974
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-5.97
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O,-5.97
CC[C@@]12O[C@]1(C(=O)OC)C(=O)N[C@]2(C)O,-5.966
C[C@H]1CN(N=O)C(=O)NC1=O,-5.961
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,-5.957
CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12,-5.955
O=C1c2c(O)ccc(Cl)c2C(=O)c2c(O)ccc(Cl)c21,-5.952
CC1Cc2ccc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,-5.949
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-5.947
O=C1NCNC(=O)N1,-5.943
OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,-5.942
CCOC(=O)N1CCN(c2ccc([NH+]([O-])O)c3no[n+]([O-])c23)CC1,-5.941
Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,-5.936
[O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31,-5.936
COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(=O)C2=O,-5.935
Oc1ccc2ccc3c4c(ccc3c2c1)[C@@H](O)[C@H](O)C=C4,-5.931
CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCN(CC)CCCl)c2n1,-5.926
NCCc1cc(O)c(O)cc1O,-5.922
Cc1ccc(O)c(O)c1,-5.922
Cc1c2cc(CO)ccc2nc2c3c(ccc12)C(O)C(O)C=C3,-5.909
O=[N+]([O-])c1ccc2cc3c(cc2c1)C(O)C(O)C=C3,-5.906
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@H](C)[C@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@@H]23)[C@H]2C(C)(C)[C@@]12OC(C)=O,-5.904
O[C@H]([C@H](O)[C@@H](O)CBr)[C@H](O)CBr,-5.895
CCCCN(CC(O)c1ccc(O)cc1)N=O,-5.89
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,-5.88
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C,-5.878
O=[N+]([O-])c1ccc(CNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,-5.878
c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C2NC12,-5.876
O=NN(CC1(O)CCC(O)C(O)C1O)C(C(=O)O)C(=O)O,-5.876
CCNc1snc2ccccc12,-5.874
COc1ccc(Cc2cnc(N)nc2N)cc1OC,-5.869
OC1C=Cc2c(ccc3ncccc23)C1O,-5.865
O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@H](O)[C@H]1O,-5.862
CC(C)Nc1nc(N)nc(Cl)n1,-5.862
CN[C@H]1C[C@@H](O[C@H]2C[C@@](O)(C(C)=O)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)O[C@@H](C)[C@@H]1O,-5.855
O=C1C=CC(=O)c2c(O)ccc(O)c21,-5.853
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(O)(C2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(C)(O)C1O,-5.852
Cc1ccc(N(N=O)C2OCC(O)C(O)C2O)cc1,-5.851
NC(CCC(=O)NNc1ccc(CO)cc1)C(=O)O,-5.851
COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,-5.845
O=C1CNC(=O)N1,-5.833
O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,-5.832
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,-5.827
COc1cc(C(C)=O)ccc1O,-5.822
[O-][n+]1c2ccccc2nc2ccccc21,-5.817
NC(CCC(=O)NC(CS/C(Cl)=C/Cl)C(=O)NCC(=O)O)C(=O)O,-5.813
O=C(O)[C@@H]1O[C@H](N(O)c2ccc(-c3ccccc3)cc2)[C@@H](O)[C@H](O)[C@H]1O,-5.813
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,-5.81
CCCCCCCCCC(=O)/N=c1\sn(C(=O)CCCCCCCCC)c2ccc([N+](=O)[O-])cc12,-5.807
C=CCc1ccc(O)c(O)c1,-5.807
COc1cc(CNC(=O)C(C)Br)ccc1O,-5.797
CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,-5.796
O=C(O)Cc1ccc(O)c(O)c1,-5.795
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCCl,-5.793
CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CCCCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,-5.793
Oc1cc2c(cc1O)[C@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,-5.792
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-5.788
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,-5.788
COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,-5.776
CN1CNc2c1n[c-][n+](O)c2N,-5.773
Cc1nn(C)c(NC(=O)CNCCCN2CCCCC2C)c1C(=O)c1ccccc1F,-5.767
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-5.765
NC1=NCNc2c1ncn2C1OC(CO)C(O)C1=O,-5.764
O=C(CCl)Nc1snc2ccccc12,-5.761
